model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
voicemark,8,121,0,0,median,1,1,1,13,0.8125,3.1017,0.9741,11.15
voicemark,8,121,0,0,minimum,1,1,1,13,0.8125,1.6408,0.9408,5.64
voicemark,8,121,0,0,maximum,1,1,1,12,0.7500,1.6490,0.9443,6.10
voicemark,8,121,0,0,rand_minmax,1,1,1,11,0.6875,1.1946,0.8908,3.99
voicemark,8,121,0,0,copy_paste,1,1,1,11,0.6875,2.2698,0.9157,6.78
voicemark,8,121,1,1,median,1,1,1,12,0.7500,3.7115,0.9677,9.05
voicemark,8,121,1,1,minimum,1,1,1,9,0.5625,1.8959,0.9446,5.76
voicemark,8,121,1,1,maximum,1,1,1,9,0.5625,1.9392,0.9444,5.89
voicemark,8,121,1,1,rand_minmax,1,1,1,7,0.4375,1.2595,0.9003,4.30
voicemark,8,121,1,1,copy_paste,1,1,1,12,0.7500,2.6322,0.9162,6.54
voicemark,8,121,2,2,median,1,1,1,11,0.6875,3.6218,0.9731,10.57
voicemark,8,121,2,2,minimum,1,1,1,13,0.8125,1.7465,0.9455,5.96
voicemark,8,121,2,2,maximum,1,1,1,11,0.6875,1.7533,0.9460,6.19
voicemark,8,121,2,2,rand_minmax,1,1,1,12,0.7500,1.2275,0.8924,4.39
voicemark,8,121,2,2,copy_paste,1,1,1,11,0.6875,2.6782,0.9289,7.61
voicemark,8,121,3,3,median,1,1,1,15,0.9375,3.2495,0.9749,11.87
voicemark,8,121,3,3,minimum,1,1,1,13,0.8125,1.5907,0.9457,5.73
voicemark,8,121,3,3,maximum,1,1,1,13,0.8125,1.6168,0.9457,6.20
voicemark,8,121,3,3,rand_minmax,1,1,1,13,0.8125,1.1703,0.8971,4.16
voicemark,8,121,3,3,copy_paste,1,1,1,14,0.8750,2.2855,0.9083,7.73
voicemark,8,237,0,4,median,1,1,1,11,0.6875,4.1695,0.9821,13.55
voicemark,8,237,0,4,minimum,1,1,1,10,0.6250,3.1697,0.9631,10.66
voicemark,8,237,0,4,maximum,1,1,1,11,0.6875,3.2399,0.9648,10.60
voicemark,8,237,0,4,rand_minmax,1,1,1,10,0.6250,1.6750,0.9366,9.01
voicemark,8,237,0,4,copy_paste,1,1,1,11,0.6875,3.5320,0.9511,11.24
voicemark,8,237,1,5,median,1,1,1,10,0.6250,4.0383,0.9843,14.24
