model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wavmark,2,121,0,0,median,1,1,1,15,0.9375,4.6141,1.0000,48.03
wavmark,2,121,0,0,minimum,0,0,0,16,1.0000,4.5866,1.0000,46.11
wavmark,2,121,0,0,maximum,1,1,1,15,0.9375,4.5795,1.0000,46.08
wavmark,2,121,0,0,rand_minmax,0,0,0,16,1.0000,4.4555,1.0000,45.03
wavmark,2,121,0,0,copy_paste,0,0,0,16,1.0000,4.5627,1.0000,45.15
wavmark,2,121,1,1,median,1,1,1,14,0.8750,4.5980,1.0000,45.42
wavmark,2,121,1,1,minimum,1,1,1,14,0.8750,4.5595,1.0000,43.48
wavmark,2,121,1,1,maximum,1,1,1,14,0.8750,4.5689,1.0000,43.47
wavmark,2,121,1,1,rand_minmax,1,1,1,14,0.8750,4.4535,1.0000,42.39
wavmark,2,121,1,1,copy_paste,1,1,1,14,0.8750,4.5486,1.0000,42.17
wavmark,2,121,2,2,median,1,1,1,11,0.6875,4.5535,1.0000,42.41
wavmark,2,121,2,2,minimum,1,1,1,11,0.6875,4.4933,1.0000,40.48
wavmark,2,121,2,2,maximum,1,1,1,12,0.7500,4.5073,1.0000,40.44
wavmark,2,121,2,2,rand_minmax,1,1,1,13,0.8125,4.3303,1.0000,39.40
wavmark,2,121,2,2,copy_paste,1,1,1,12,0.7500,4.4396,1.0000,38.89
wavmark,2,121,3,3,median,1,1,1,12,0.7500,4.5354,1.0000,42.63
wavmark,2,121,3,3,minimum,1,1,1,12,0.7500,4.5012,1.0000,40.70
wavmark,2,121,3,3,maximum,1,1,1,11,0.6875,4.4938,1.0000,40.67
wavmark,2,121,3,3,rand_minmax,1,1,1,11,0.6875,4.3754,1.0000,39.63
wavmark,2,121,3,3,copy_paste,1,1,1,12,0.7500,4.4640,1.0000,39.95
wavmark,2,237,0,4,median,1,1,1,11,0.6875,4.6100,0.9999,45.29
wavmark,2,237,0,4,minimum,1,1,1,12,0.7500,4.5669,0.9999,43.49
wavmark,2,237,0,4,maximum,1,1,1,12,0.7500,4.5700,0.9999,43.42
wavmark,2,237,0,4,rand_minmax,1,1,1,12,0.7500,4.4814,0.9999,42.27
wavmark,2,237,0,4,copy_paste,1,1,1,12,0.7500,4.5658,0.9999,42.34
wavmark,2,237,1,5,median,1,1,1,13,0.8125,4.5996,1.0000,45.27
wavmark,2,237,1,5,minimum,1,1,1,13,0.8125,4.5638,0.9999,43.47
wavmark,2,237,1,5,maximum,1,1,1,13,0.8125,4.5593,0.9999,43.38
wavmark,2,237,1,5,rand_minmax,1,1,1,12,0.7500,4.4709,0.9999,42.26
wavmark,2,237,1,5,copy_paste,1,1,1,13,0.8125,4.5329,0.9999,42.24
wavmark,2,237,2,6,median,1,1,1,13,0.8125,4.6194,1.0000,47.07
wavmark,2,237,2,6,minimum,1,1,1,13,0.8125,4.5939,1.0000,45.18
wavmark,2,237,2,6,maximum,1,1,1,13,0.8125,4.5922,1.0000,45.19
wavmark,2,237,2,6,rand_minmax,1,1,1,14,0.8750,4.5336,0.9999,44.01
wavmark,2,237,2,6,copy_paste,1,1,1,13,0.8125,4.5817,0.9999,44.55
wavmark,2,237,3,7,median,1,1,1,12,0.7500,4.6180,1.0000,45.61
