model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wmcodec,8,121,0,0,bdb,1,1,1,11,0.6875,4.4757,0.9947,14.85
wmcodec,8,121,1,1,bdb,1,1,1,12,0.7500,4.0672,0.9878,8.65
wmcodec,8,121,2,2,bdb,1,1,1,11,0.6875,4.0351,0.9880,9.03
wmcodec,8,121,3,3,bdb,1,1,1,12,0.7500,4.2564,0.9889,10.03
wmcodec,8,237,0,4,bdb,1,1,1,12,0.7500,4.2674,0.9924,14.33
wmcodec,8,237,1,5,bdb,1,1,1,15,0.9375,4.3500,0.9936,14.37
wmcodec,8,237,2,6,bdb,1,1,1,10,0.6250,4.2540,0.9918,14.37
wmcodec,8,237,3,7,bdb,1,1,1,12,0.7500,4.2492,0.9918,14.53
wmcodec,8,260,0,8,bdb,1,1,1,13,0.8125,3.9749,0.9858,13.54
wmcodec,8,260,1,9,bdb,1,1,1,11,0.6875,3.8806,0.9845,12.68
wmcodec,8,260,2,10,bdb,1,1,1,11,0.6875,4.4662,0.9933,18.00
wmcodec,8,260,3,11,bdb,1,1,1,12,0.7500,4.0183,0.9842,13.10
wmcodec,8,672,0,12,bdb,1,1,1,12,0.7500,4.0512,0.9799,6.32
wmcodec,8,672,1,13,bdb,1,1,1,11,0.6875,4.0233,0.9781,6.37
wmcodec,8,672,2,14,bdb,1,1,1,11,0.6875,3.9726,0.9774,6.48
wmcodec,8,672,3,15,bdb,1,1,1,11,0.6875,4.0999,0.9795,7.60
wmcodec,8,908,0,16,bdb,1,1,1,9,0.5625,4.0840,0.9796,12.87
wmcodec,8,908,1,17,bdb,1,1,1,11,0.6875,4.1056,0.9797,13.01
wmcodec,8,908,2,18,bdb,1,1,1,12,0.7500,4.1432,0.9825,13.93
wmcodec,8,908,3,19,bdb,0,0,0,16,1.0000,3.9582,0.9789,12.40
wmcodec,8,1089,0,20,bdb,1,1,1,11,0.6875,4.1098,0.9803,11.72
wmcodec,8,1089,1,21,bdb,1,1,1,13,0.8125,4.1799,0.9828,12.37
wmcodec,8,1089,2,22,bdb,1,1,1,13,0.8125,4.0339,0.9849,12.44
