model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
voicemark,8,121,0,0,mean,1,1,1,14,0.8750,0.093750,3.5555,0.9771,11.18
voicemark,8,121,0,0,blind_gram_cb,1,1,1,13,0.8125,0.091194,3.5353,0.9767,11.02
voicemark,8,121,0,0,extreme_pair,1,1,1,10,0.6250,0.500000,3.1513,0.9691,8.94
voicemark,8,121,1,1,mean,1,1,1,12,0.7500,0.160156,4.1126,0.9719,9.22
voicemark,8,121,1,1,blind_gram_cb,1,1,1,12,0.7500,0.159622,4.1261,0.9729,9.34
voicemark,8,121,1,1,extreme_pair,1,1,1,12,0.7500,0.500000,4.0681,0.9812,10.68
voicemark,8,121,2,2,mean,1,1,1,11,0.6875,0.125000,4.0791,0.9767,10.71
voicemark,8,121,2,2,blind_gram_cb,1,1,1,12,0.7500,0.125324,4.0646,0.9766,10.68
voicemark,8,121,2,2,extreme_pair,1,1,1,10,0.6250,0.437500,3.4865,0.9706,8.31
voicemark,8,121,3,3,mean,1,1,1,12,0.7500,0.121094,3.7124,0.9763,11.79
voicemark,8,121,3,3,blind_gram_cb,1,1,1,12,0.7500,0.122267,3.6837,0.9760,11.62
voicemark,8,121,3,3,extreme_pair,1,1,1,14,0.8750,0.250000,3.1244,0.9687,9.23
voicemark,8,237,0,4,mean,1,1,1,9,0.5625,0.113281,4.2934,0.9857,13.98
voicemark,8,237,0,4,blind_gram_cb,1,1,1,9,0.5625,0.110285,4.2962,0.9858,14.03
voicemark,8,237,0,4,extreme_pair,1,1,1,11,0.6875,0.375000,4.2712,0.9869,14.29
voicemark,8,237,1,5,mean,1,1,1,12,0.7500,0.117188,4.2018,0.9871,14.48
voicemark,8,237,1,5,blind_gram_cb,1,1,1,11,0.6875,0.115947,4.2030,0.9876,14.47
voicemark,8,237,1,5,extreme_pair,1,1,1,12,0.7500,0.562500,4.0063,0.9910,15.35
voicemark,8,237,2,6,mean,1,1,1,12,0.7500,0.207031,4.3447,0.9896,15.43
voicemark,8,237,2,6,blind_gram_cb,1,1,1,13,0.8125,0.206287,4.3308,0.9890,15.29
voicemark,8,237,2,6,extreme_pair,1,1,1,12,0.7500,0.437500,3.6652,0.9768,11.16
voicemark,8,237,3,7,mean,1,1,1,13,0.8125,0.109375,4.3434,0.9904,14.79
voicemark,8,237,3,7,blind_gram_cb,1,1,1,13,0.8125,0.111591,4.3361,0.9904,14.78
voicemark,8,237,3,7,extreme_pair,1,1,1,11,0.6875,0.562500,4.1446,0.9844,13.12
voicemark,8,260,0,8,mean,1,1,1,13,0.8125,0.132812,4.3519,0.9803,13.82
voicemark,8,260,0,8,blind_gram_cb,1,1,1,13,0.8125,0.132782,4.3507,0.9803,13.81
voicemark,8,260,0,8,extreme_pair,1,1,1,12,0.7500,0.375000,3.7956,0.9679,11.38
voicemark,8,260,1,9,mean,1,1,1,11,0.6875,0.105469,4.2912,0.9774,14.58
voicemark,8,260,1,9,blind_gram_cb,1,1,1,11,0.6875,0.109736,4.2975,0.9776,14.66
voicemark,8,260,1,9,extreme_pair,1,1,1,11,0.6875,0.562500,4.3357,0.9817,16.10
voicemark,8,260,2,10,mean,1,1,1,12,0.7500,0.128906,4.1758,0.9773,14.92
voicemark,8,260,2,10,blind_gram_cb,1,1,1,12,0.7500,0.122690,4.1769,0.9771,14.89
voicemark,8,260,2,10,extreme_pair,1,1,1,13,0.8125,0.625000,3.6873,0.9673,12.75
voicemark,8,260,3,11,mean,1,1,1,12,0.7500,0.144531,4.3367,0.9820,16.27
voicemark,8,260,3,11,blind_gram_cb,1,1,1,12,0.7500,0.145408,4.3310,0.9819,16.24
voicemark,8,260,3,11,extreme_pair,1,1,1,12,0.7500,0.250000,4.0004,0.9745,13.58
voicemark,8,672,0,12,mean,1,1,1,14,0.8750,0.113281,4.0421,0.9668,10.15
voicemark,8,672,0,12,blind_gram_cb,1,1,1,14,0.8750,0.108471,4.0394,0.9667,10.12
voicemark,8,672,0,12,extreme_pair,1,1,1,11,0.6875,0.562500,3.6902,0.9753,10.65
voicemark,8,672,1,13,mean,1,1,1,13,0.8125,0.148438,4.1747,0.9659,11.72
voicemark,8,672,1,13,blind_gram_cb,1,1,1,12,0.7500,0.145640,4.1564,0.9648,11.54
voicemark,8,672,1,13,extreme_pair,1,1,1,11,0.6875,0.500000,3.5307,0.9392,8.27
voicemark,8,672,2,14,mean,1,1,1,11,0.6875,0.101562,4.1116,0.9751,12.45
voicemark,8,672,2,14,blind_gram_cb,1,1,1,11,0.6875,0.104296,4.1102,0.9753,12.47
voicemark,8,672,2,14,extreme_pair,1,1,1,13,0.8125,0.437500,3.4426,0.9637,10.48
voicemark,8,672,3,15,mean,1,1,1,14,0.8750,0.152344,3.9977,0.9533,11.37
voicemark,8,672,3,15,blind_gram_cb,1,1,0,14,0.8750,0.145653,3.9888,0.9535,11.28
voicemark,8,672,3,15,extreme_pair,0,0,0,16,1.0000,0.437500,3.5323,0.9486,9.46
voicemark,8,908,0,16,mean,1,1,1,12,0.7500,0.109375,3.9830,0.9631,14.69
voicemark,8,908,0,16,blind_gram_cb,1,1,1,12,0.7500,0.109716,3.9490,0.9623,14.57
voicemark,8,908,0,16,extreme_pair,1,1,1,12,0.7500,0.562500,3.2857,0.9449,11.68
voicemark,8,908,1,17,mean,1,1,1,12,0.7500,0.082031,4.2465,0.9715,13.57
voicemark,8,908,1,17,blind_gram_cb,1,1,1,12,0.7500,0.082245,4.2381,0.9711,13.54
voicemark,8,908,1,17,extreme_pair,1,1,1,14,0.8750,0.375000,3.8477,0.9627,12.01
voicemark,8,908,2,18,mean,1,1,1,10,0.6250,0.203125,4.1527,0.9685,13.05
voicemark,8,908,2,18,blind_gram_cb,1,1,1,10,0.6250,0.207962,4.1438,0.9681,12.99
voicemark,8,908,2,18,extreme_pair,1,1,1,12,0.7500,0.562500,3.8546,0.9611,11.87
voicemark,8,908,3,19,mean,1,1,1,10,0.6250,0.132812,4.0867,0.9564,12.05
voicemark,8,908,3,19,blind_gram_cb,1,1,1,10,0.6250,0.130124,4.0899,0.9567,12.10
voicemark,8,908,3,19,extreme_pair,1,1,1,11,0.6875,0.250000,4.0137,0.9709,13.66
voicemark,8,1089,0,20,mean,1,1,1,10,0.6250,0.125000,4.3250,0.9775,15.32
voicemark,8,1089,0,20,blind_gram_cb,1,1,1,12,0.7500,0.120732,4.3213,0.9772,15.35
voicemark,8,1089,0,20,extreme_pair,1,1,1,12,0.7500,0.312500,4.2058,0.9806,16.33
voicemark,8,1089,1,21,mean,1,1,1,14,0.8750,0.128906,4.2223,0.9793,17.06
voicemark,8,1089,1,21,blind_gram_cb,1,1,1,14,0.8750,0.129063,4.2133,0.9792,16.99
voicemark,8,1089,1,21,extreme_pair,1,1,1,12,0.7500,0.437500,3.7184,0.9695,14.77
voicemark,8,1089,2,22,mean,1,1,1,12,0.7500,0.125000,4.3410,0.9844,15.00
voicemark,8,1089,2,22,blind_gram_cb,1,1,1,12,0.7500,0.126143,4.3493,0.9848,15.13
voicemark,8,1089,2,22,extreme_pair,1,1,1,14,0.8750,0.312500,4.1128,0.9795,14.48
voicemark,8,1089,3,23,mean,1,1,1,12,0.7500,0.105469,4.3764,0.9837,14.70
voicemark,8,1089,3,23,blind_gram_cb,1,1,1,12,0.7500,0.105225,4.3859,0.9841,14.82
voicemark,8,1089,3,23,extreme_pair,1,1,1,14,0.8750,0.437500,4.4162,0.9873,17.26
voicemark,8,1188,0,24,mean,1,1,1,13,0.8125,0.093750,4.3126,0.9731,14.87
voicemark,8,1188,0,24,blind_gram_cb,1,1,1,13,0.8125,0.089333,4.3270,0.9739,15.01
voicemark,8,1188,0,24,extreme_pair,1,1,0,13,0.8125,0.312500,4.4954,0.9867,16.73
voicemark,8,1188,1,25,mean,1,1,1,12,0.7500,0.164062,4.3878,0.9776,16.45
voicemark,8,1188,1,25,blind_gram_cb,1,1,1,12,0.7500,0.166797,4.3886,0.9775,16.49
voicemark,8,1188,1,25,extreme_pair,1,1,1,11,0.6875,0.437500,4.1028,0.9512,14.64
voicemark,8,1188,2,26,mean,1,1,1,11,0.6875,0.097656,4.2330,0.9730,17.25
voicemark,8,1188,2,26,blind_gram_cb,1,1,1,11,0.6875,0.098752,4.2152,0.9723,17.13
voicemark,8,1188,2,26,extreme_pair,1,1,1,9,0.5625,0.625000,3.6421,0.9457,14.03
voicemark,8,1188,3,27,mean,1,1,1,12,0.7500,0.156250,4.2300,0.9719,16.29
voicemark,8,1188,3,27,blind_gram_cb,1,1,1,12,0.7500,0.150657,4.2256,0.9717,16.26
voicemark,8,1188,3,27,extreme_pair,1,1,1,12,0.7500,0.437500,3.7517,0.9552,14.11
voicemark,8,1221,0,28,mean,1,1,1,10,0.6250,0.156250,4.2512,0.9865,10.11
voicemark,8,1221,0,28,blind_gram_cb,1,1,1,10,0.6250,0.155578,4.2578,0.9866,10.18
voicemark,8,1221,0,28,extreme_pair,1,1,1,13,0.8125,0.625000,3.6895,0.9789,7.34
voicemark,8,1221,1,29,mean,1,1,1,12,0.7500,0.132812,4.1398,0.9704,11.32
voicemark,8,1221,1,29,blind_gram_cb,1,1,1,11,0.6875,0.138046,4.1377,0.9702,11.28
voicemark,8,1221,1,29,extreme_pair,1,1,1,13,0.8125,0.687500,3.9203,0.9678,9.87
voicemark,8,1221,2,30,mean,1,1,1,13,0.8125,0.097656,4.2636,0.9797,9.71
voicemark,8,1221,2,30,blind_gram_cb,1,1,1,13,0.8125,0.093275,4.2742,0.9801,9.79
voicemark,8,1221,2,30,extreme_pair,1,1,1,11,0.6875,0.125000,4.2793,0.9817,11.54
voicemark,8,1221,3,31,mean,1,1,1,12,0.7500,0.121094,4.3281,0.9829,11.73
voicemark,8,1221,3,31,blind_gram_cb,1,1,1,12,0.7500,0.116635,4.3223,0.9827,11.61
voicemark,8,1221,3,31,extreme_pair,0,0,0,16,1.0000,0.312500,3.9707,0.9720,9.14
voicemark,8,1284,0,32,mean,1,0,0,15,0.9375,0.175781,4.3083,0.9758,17.56
voicemark,8,1284,0,32,blind_gram_cb,1,1,1,13,0.8125,0.168698,4.2999,0.9760,17.48
voicemark,8,1284,0,32,extreme_pair,1,1,1,11,0.6875,0.687500,4.1393,0.9768,17.00
voicemark,8,1284,1,33,mean,1,1,1,12,0.7500,0.140625,4.3896,0.9802,16.50
voicemark,8,1284,1,33,blind_gram_cb,1,1,1,12,0.7500,0.147312,4.3863,0.9801,16.47
voicemark,8,1284,1,33,extreme_pair,1,1,1,11,0.6875,0.562500,4.2450,0.9787,15.70
voicemark,8,1284,2,34,mean,1,1,1,12,0.7500,0.082031,4.3247,0.9828,15.93
voicemark,8,1284,2,34,blind_gram_cb,1,1,1,12,0.7500,0.085586,4.3260,0.9830,15.96
voicemark,8,1284,2,34,extreme_pair,1,1,1,10,0.6250,0.250000,3.9049,0.9784,14.29
voicemark,8,1284,3,35,mean,1,1,1,12,0.7500,0.175781,4.1816,0.9813,17.94
voicemark,8,1284,3,35,blind_gram_cb,1,1,1,11,0.6875,0.174867,4.1694,0.9811,17.80
voicemark,8,1284,3,35,extreme_pair,1,1,1,13,0.8125,0.687500,3.6774,0.9677,14.20
voicemark,8,1320,0,36,mean,1,1,1,11,0.6875,0.136719,4.3772,0.9867,18.15
voicemark,8,1320,0,36,blind_gram_cb,1,1,1,11,0.6875,0.137553,4.3686,0.9865,18.03
voicemark,8,1320,0,36,extreme_pair,1,1,1,11,0.6875,0.312500,4.0459,0.9811,15.37
voicemark,8,1320,1,37,mean,1,1,1,15,0.9375,0.136719,3.9073,0.9783,17.89
voicemark,8,1320,1,37,blind_gram_cb,1,1,1,14,0.8750,0.136436,3.9022,0.9783,17.87
voicemark,8,1320,1,37,extreme_pair,1,1,1,10,0.6250,0.687500,3.5061,0.9729,15.60
voicemark,8,1320,2,38,mean,1,1,1,13,0.8125,0.144531,4.4726,0.9882,19.43
voicemark,8,1320,2,38,blind_gram_cb,1,1,1,11,0.6875,0.147143,4.4656,0.9879,19.26
voicemark,8,1320,2,38,extreme_pair,1,1,1,10,0.6250,0.500000,4.2490,0.9808,16.61
voicemark,8,1320,3,39,mean,1,1,1,12,0.7500,0.078125,4.2925,0.9811,18.12
voicemark,8,1320,3,39,blind_gram_cb,1,1,1,12,0.7500,0.078358,4.2904,0.9809,18.08
voicemark,8,1320,3,39,extreme_pair,1,1,1,13,0.8125,0.437500,4.1106,0.9778,16.87
voicemark,8,1580,0,40,mean,1,1,1,11,0.6875,0.183594,3.6105,0.9644,7.81
voicemark,8,1580,0,40,blind_gram_cb,1,1,1,11,0.6875,0.179243,3.5960,0.9639,7.68
voicemark,8,1580,0,40,extreme_pair,1,1,1,12,0.7500,0.375000,3.3596,0.9554,4.27
voicemark,8,1580,1,41,mean,1,1,1,10,0.6250,0.105469,3.5505,0.9626,6.13
voicemark,8,1580,1,41,blind_gram_cb,1,1,1,10,0.6250,0.108299,3.5358,0.9626,6.13
voicemark,8,1580,1,41,extreme_pair,1,1,1,12,0.7500,0.562500,2.8719,0.9452,3.04
voicemark,8,1580,2,42,mean,1,1,1,9,0.5625,0.121094,3.6990,0.9637,7.50
voicemark,8,1580,2,42,blind_gram_cb,1,1,1,9,0.5625,0.121065,3.6654,0.9629,7.38
voicemark,8,1580,2,42,extreme_pair,1,1,1,12,0.7500,0.500000,2.8824,0.9317,4.36
voicemark,8,1580,3,43,mean,1,1,1,12,0.7500,0.089844,3.3898,0.9668,7.66
voicemark,8,1580,3,43,blind_gram_cb,1,1,1,12,0.7500,0.092542,3.3806,0.9667,7.64
voicemark,8,1580,3,43,extreme_pair,1,1,1,14,0.8750,0.562500,2.9923,0.9574,4.81
voicemark,8,1995,0,44,mean,1,1,1,10,0.6250,0.070312,4.2244,0.9576,18.67
voicemark,8,1995,0,44,blind_gram_cb,1,1,1,10,0.6250,0.072887,4.2037,0.9565,18.50
voicemark,8,1995,0,44,extreme_pair,1,1,1,12,0.7500,0.625000,3.8523,0.9417,16.18
voicemark,8,1995,1,45,mean,1,1,1,10,0.6250,0.195312,4.2838,0.9761,17.84
voicemark,8,1995,1,45,blind_gram_cb,1,1,1,10,0.6250,0.196250,4.2754,0.9754,17.72
voicemark,8,1995,1,45,extreme_pair,1,1,1,10,0.6250,0.375000,3.6609,0.9478,15.31
voicemark,8,1995,2,46,mean,1,1,1,12,0.7500,0.082031,3.6235,0.9741,18.23
voicemark,8,1995,2,46,blind_gram_cb,1,1,1,12,0.7500,0.090590,3.5893,0.9731,17.99
voicemark,8,1995,2,46,extreme_pair,1,1,1,12,0.7500,0.687500,3.8056,0.9680,18.30
voicemark,8,1995,3,47,mean,1,1,1,11,0.6875,0.113281,4.2727,0.9681,16.22
voicemark,8,1995,3,47,blind_gram_cb,1,1,1,12,0.7500,0.107166,4.2976,0.9696,16.43
voicemark,8,1995,3,47,extreme_pair,1,1,1,14,0.8750,0.437500,4.4226,0.9864,18.27
voicemark,8,2300,0,48,mean,1,1,1,8,0.5000,0.070312,4.2429,0.9826,17.46
voicemark,8,2300,0,48,blind_gram_cb,1,1,1,8,0.5000,0.070764,4.2404,0.9825,17.41
voicemark,8,2300,0,48,extreme_pair,1,1,1,12,0.7500,0.625000,3.7452,0.9696,14.53
voicemark,8,2300,1,49,mean,1,1,1,9,0.5625,0.140625,4.1603,0.9735,16.26
voicemark,8,2300,1,49,blind_gram_cb,1,1,1,9,0.5625,0.140738,4.1557,0.9734,16.24
voicemark,8,2300,1,49,extreme_pair,1,1,1,9,0.5625,0.437500,4.0730,0.9723,15.01
voicemark,8,2300,2,50,mean,1,1,1,11,0.6875,0.078125,4.1232,0.9768,19.53
voicemark,8,2300,2,50,blind_gram_cb,1,1,1,11,0.6875,0.076890,4.0981,0.9762,19.33
voicemark,8,2300,2,50,extreme_pair,1,1,1,13,0.8125,0.125000,3.4145,0.9667,15.79
voicemark,8,2300,3,51,mean,1,1,1,13,0.8125,0.140625,4.2539,0.9804,17.82
voicemark,8,2300,3,51,blind_gram_cb,1,1,1,13,0.8125,0.139363,4.2394,0.9798,17.68
voicemark,8,2300,3,51,extreme_pair,1,1,1,10,0.6250,0.500000,4.0626,0.9701,15.47
voicemark,8,2830,0,52,mean,1,1,1,11,0.6875,0.066406,4.3119,0.9804,16.98
voicemark,8,2830,0,52,blind_gram_cb,1,1,1,11,0.6875,0.068123,4.2923,0.9802,16.84
voicemark,8,2830,0,52,extreme_pair,1,1,1,11,0.6875,0.250000,4.1516,0.9771,16.68
voicemark,8,2830,1,53,mean,1,1,1,11,0.6875,0.183594,4.2095,0.9728,15.35
voicemark,8,2830,1,53,blind_gram_cb,1,1,1,11,0.6875,0.188226,4.2053,0.9728,15.34
voicemark,8,2830,1,53,extreme_pair,1,1,1,12,0.7500,0.562500,3.8547,0.9582,13.07
voicemark,8,2830,2,54,mean,0,0,0,16,1.0000,0.222656,4.2485,0.9731,15.33
voicemark,8,2830,2,54,blind_gram_cb,1,0,0,12,0.7500,0.221332,4.2467,0.9731,15.33
voicemark,8,2830,2,54,extreme_pair,1,1,1,11,0.6875,0.500000,4.0512,0.9710,13.75
voicemark,8,2830,3,55,mean,1,1,1,10,0.6250,0.125000,4.2178,0.9750,15.41
voicemark,8,2830,3,55,blind_gram_cb,1,1,1,10,0.6250,0.123175,4.2111,0.9747,15.35
voicemark,8,2830,3,55,extreme_pair,1,1,1,9,0.5625,0.500000,3.8316,0.9626,13.37
voicemark,8,2961,0,56,mean,1,1,1,14,0.8750,0.132812,3.9754,0.9768,14.34
voicemark,8,2961,0,56,blind_gram_cb,1,1,1,14,0.8750,0.135509,3.9503,0.9762,14.10
voicemark,8,2961,0,56,extreme_pair,1,1,1,12,0.7500,0.500000,3.9532,0.9756,13.26
voicemark,8,2961,1,57,mean,1,1,1,11,0.6875,0.101562,3.8780,0.9733,15.06
voicemark,8,2961,1,57,blind_gram_cb,1,1,1,11,0.6875,0.101545,3.8635,0.9732,15.04
voicemark,8,2961,1,57,extreme_pair,1,1,1,12,0.7500,0.250000,3.1475,0.9660,11.88
voicemark,8,2961,2,58,mean,1,1,1,11,0.6875,0.132812,4.3709,0.9808,15.08
voicemark,8,2961,2,58,blind_gram_cb,1,1,1,11,0.6875,0.135057,4.3711,0.9807,15.01
voicemark,8,2961,2,58,extreme_pair,1,1,1,12,0.7500,0.625000,4.1851,0.9716,13.27
voicemark,8,2961,3,59,mean,1,1,1,14,0.8750,0.109375,4.2323,0.9811,15.37
voicemark,8,2961,3,59,blind_gram_cb,1,1,1,14,0.8750,0.109898,4.2056,0.9805,15.12
voicemark,8,2961,3,59,extreme_pair,1,0,0,15,0.9375,0.312500,3.8877,0.9685,13.24
voicemark,8,3570,0,60,mean,1,1,1,12,0.7500,0.121094,4.4061,0.9848,18.54
voicemark,8,3570,0,60,blind_gram_cb,1,1,1,12,0.7500,0.123460,4.3983,0.9843,18.42
voicemark,8,3570,0,60,extreme_pair,1,1,1,11,0.6875,0.500000,4.3652,0.9876,18.52
voicemark,8,3570,1,61,mean,1,1,1,11,0.6875,0.117188,4.3526,0.9818,17.78
voicemark,8,3570,1,61,blind_gram_cb,1,1,1,11,0.6875,0.115755,4.3453,0.9813,17.69
voicemark,8,3570,1,61,extreme_pair,1,1,1,13,0.8125,0.625000,4.0338,0.9721,15.48
voicemark,8,3570,2,62,mean,1,1,1,12,0.7500,0.128906,4.3017,0.9814,17.34
voicemark,8,3570,2,62,blind_gram_cb,1,1,1,11,0.6875,0.139235,4.2986,0.9814,17.33
voicemark,8,3570,2,62,extreme_pair,1,1,1,12,0.7500,0.500000,4.0298,0.9792,16.14
voicemark,8,3570,3,63,mean,1,1,1,15,0.9375,0.171875,4.1512,0.9741,17.53
voicemark,8,3570,3,63,blind_gram_cb,1,1,1,13,0.8125,0.172004,4.1495,0.9743,17.52
voicemark,8,3570,3,63,extreme_pair,1,1,1,9,0.5625,0.500000,4.0110,0.9749,16.65
voicemark,8,3575,0,64,mean,1,1,1,13,0.8125,0.175781,4.1408,0.9871,17.89
voicemark,8,3575,0,64,blind_gram_cb,1,1,1,12,0.7500,0.178013,4.1241,0.9868,17.83
voicemark,8,3575,0,64,extreme_pair,1,1,1,12,0.7500,0.562500,3.4355,0.9743,14.52
voicemark,8,3575,1,65,mean,1,1,1,15,0.9375,0.171875,4.3030,0.9832,16.58
voicemark,8,3575,1,65,blind_gram_cb,1,1,1,15,0.9375,0.173197,4.2939,0.9831,16.55
voicemark,8,3575,1,65,extreme_pair,1,1,1,11,0.6875,0.500000,4.0160,0.9744,15.26
voicemark,8,3575,2,66,mean,1,1,1,10,0.6250,0.089844,4.0356,0.9809,17.12
voicemark,8,3575,2,66,blind_gram_cb,1,1,1,10,0.6250,0.084488,4.0241,0.9807,17.06
voicemark,8,3575,2,66,extreme_pair,1,1,1,13,0.8125,0.500000,3.5598,0.9729,14.62
voicemark,8,3575,3,67,mean,1,1,1,11,0.6875,0.097656,4.2086,0.9821,17.13
voicemark,8,3575,3,67,blind_gram_cb,1,1,1,11,0.6875,0.094982,4.1916,0.9816,16.95
voicemark,8,3575,3,67,extreme_pair,1,1,1,15,0.9375,0.500000,3.8022,0.9731,13.78
voicemark,8,3729,0,68,mean,1,1,1,13,0.8125,0.113281,3.5314,0.9677,7.03
voicemark,8,3729,0,68,blind_gram_cb,1,1,1,13,0.8125,0.108421,3.5536,0.9685,7.16
voicemark,8,3729,0,68,extreme_pair,1,1,1,11,0.6875,0.687500,3.9337,0.9784,9.71
voicemark,8,3729,1,69,mean,1,0,0,14,0.8750,0.152344,3.8125,0.9623,9.04
voicemark,8,3729,1,69,blind_gram_cb,1,0,0,14,0.8750,0.148554,3.7946,0.9619,8.94
voicemark,8,3729,1,69,extreme_pair,1,1,1,9,0.5625,0.437500,3.0635,0.9452,5.20
