model,k,trials,speakers,clips,valid_copy_count,tracing_failure_pct,mean_pesq,mean_stoi
audioseal,2,300,100,300,2,99.000000,4.604020,0.999224
audioseal,3,300,100,300,3,97.333333,4.591001,0.999055
audioseal,5,300,100,300,5,98.333333,4.585587,0.998831
audioseal,8,300,100,300,8,100.000000,4.577279,0.998638
wavmark,2,300,100,300,2,96.666667,4.571572,0.998957
wavmark,3,300,100,300,3,97.666667,4.556349,0.998706
wavmark,5,300,100,300,5,98.000000,4.539085,0.998271
wavmark,8,300,100,300,8,99.333333,4.517925,0.998043
timbrewm,2,300,100,300,2,86.333333,4.563835,0.998092
timbrewm,3,300,100,300,3,84.666667,4.556360,0.997471
timbrewm,5,300,100,300,5,90.666667,4.546799,0.996996
timbrewm,8,300,100,300,8,92.000000,4.533511,0.996386
voicemark,2,300,100,300,2,93.666667,4.203574,0.982709
voicemark,3,300,100,300,3,99.000000,4.167549,0.978247
voicemark,5,300,100,300,5,99.333333,4.113356,0.974149
voicemark,8,300,100,300,8,98.666667,4.049016,0.970940
wmcodec,2,300,100,300,2,99.333333,4.367312,0.989410
wmcodec,3,300,100,300,3,99.333333,4.320117,0.986486
wmcodec,5,300,100,300,5,100.000000,4.260939,0.983914
wmcodec,8,300,100,300,8,99.666667,4.235092,0.982656
